nome_nota,data_ultima_modificacao,data_nota,tags,quantidade_palavras
",pop.md",2024-11-13 19:18:02,2024-11-13,[],103
Discretização.md,2024-10-23 22:38:25,2024-10-23,[],23
EDA.md,2024-12-03 20:17:55,2024-12-03,[],153
Indução.md,2024-10-29 00:40:58,2024-10-29,[],127
o'clock.md,2024-11-22 19:12:45,2024-11-22,[],21
quantidade de palavras.md,2024-11-28 21:44:47,,[],592
Sem título.md,2024-11-22 18:12:19,,[],0
Tripleten.md,2024-10-29 22:06:49,2024-10-29,[],92
vxcvx.gif.md,2024-12-10 15:36:49,,[],0
Ações.md,2024-07-17 01:04:31,,[],0
Terrawwwwwww.md,2024-07-15 01:06:40,,[],0
Terrawwwwwwwwwww.md,2024-07-15 01:07:32,,[],0
Terrawwwwwwwwwwww2w22wwwwwww.md,2024-07-15 01:05:14,,[],0
Terrawwwwwwwwwwwww.md,2024-07-15 01:08:00,,[],0
Terrawwwwwwwwwwwwwww.md,2024-07-15 01:08:33,,[],0
Cheklist.md,2024-12-03 23:22:41,,[],298
Organização da organização.md,2024-10-18 17:26:56,,[],17
O voto não é o que você pensa..md,2024-09-19 18:52:16,,[],2732
300 palavras basicas.md,2024-12-06 23:40:21,,[],3738
Anki.md,2024-11-28 19:55:21,,[],33
DA.md,2024-11-19 19:52:27,2024-11-19,[],107
Eniglish.md,2024-11-26 17:51:32,,[],206
Gráfico.md,2024-11-15 21:16:00,2024-11-15,[],0
Python.md,2024-12-12 22:59:18,2024-11-15,[],115
pythonloco.md,2024-11-19 21:32:56,,[],4296
01.md,2024-12-08 23:57:27,2024-12-08,[],174
Alfabeto.md,2024-11-15 18:20:42,2024-04-28,[],285
Articles.md,2024-11-27 01:13:28,2024-11-27,[],2
Fonética das palavras com ch.md,2024-11-17 22:38:59,2024-04-28,[],57
"in, on e at(para lugar).md",2024-11-22 18:08:06,2024-11-20,[],70
"in, on e at(para tempo).md",2024-11-22 19:21:47,2024-11-20,[],254
Noun.md,2024-11-27 01:12:12,,[],1
Object of the sentence.md,2024-11-26 18:43:35,2024-11-26,[],79
Phonetics.md,2024-11-27 01:13:29,,[],0
Posições.md,2024-12-18 00:40:09,2024-11-21,[],197
Pronome.md,2024-11-26 20:03:06,2024-11-26,[],165
Sem título.md,2024-11-26 18:29:06,,[],0
Verbs.md,2024-11-18 17:57:17,2024-11-18,[],193
Color.md,2024-12-01 23:38:35,2024-12-01,[],433
Days of the week.md,2024-12-01 23:44:45,2024-12-01,[],43
evening.md,2024-11-22 19:04:14,2024-11-22,[],41
Months and Seasons.md,2024-12-02 00:22:34,2024-12-01,[],156
noon.md,2024-11-22 18:15:52,2024-11-22,[],6
Numbers.md,2024-12-08 23:47:27,2024-12-03,[],263
Não sei.md,2024-12-29 00:35:28,2024-11-29,[],12
Conjunto dos inteiros.md,2023-09-29 23:31:25,,['#Matemática #números'],159
Conjunto dos Irracionais.md,2023-10-03 10:31:33,,['#Matemática #números'],88
Conjunto dos Racionais.md,2023-09-29 23:45:07,,['#Matemática #números'],179
Conjunto dos reais.md,2023-09-29 23:34:58,,['#Matemática #números'],159
Conjuntos dos naturais.md,2023-09-29 23:31:16,,['#Matemática #números'],127
Conjuntos numéricos.md,2024-04-21 22:40:53,,['#Matemática #números'],48
Sem título.md,2024-10-25 00:13:56,,[],54
Fundamentos da matemática elementar V1.md,2024-11-09 17:58:22,,[],17
Negação(~).md,2024-10-25 00:53:34,2024-10-25,[],38
Proposição composta.md,2024-11-09 18:15:36,2024-11-09,[],45
Proposição.md,2024-10-25 00:44:52,2024-10-25,[],183
Variáveis.md,2024-11-11 21:14:26,2024-11-11,[],35
Algoritmos de memorização.md,2024-08-17 19:36:45,2024-08-17,[],5
Breu.md,2024-04-24 19:28:59,2024-04-24,[],29
Como eu estudo.md,2024-08-22 22:47:54,2024-08-21,[],78
Hidro-semeadura.md,2024-04-20 22:27:36,,[],0
Leitura do Coruja.md,2024-04-30 00:44:42,2024-04-30,[],29
Major System.md,2024-08-17 19:57:31,2024-08-17,[],166
Palácio da memória.md,2024-08-17 19:50:54,2024-08-17,[],132
RGB.md,2024-04-09 11:22:35,2024-04-09,[],40
