Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
",pop",2024-11-13,2024-11-13,['Python'],108,0,",pop.md",0.5481651376146789,1,0
Discretização,2024-10-23,2024-10-23,['DataAnalyst'],28,0,Discretização.md,1.0934633027522935,1,0
EDA,2024-12-03,2024-12-03,['DataAnalyst'],158,8,EDA.md,4.159090909090909,1,0
Indução,2024-10-29,2024-10-29,['DataAnalyst'],132,6,Indução.md,3.44672131147541,1,0
O descobrimento de Portugal.,2024-12-31,2024-12-31,[],155,0,O descobrimento de Portugal..md,0.42660550458715596,0,0
o'clock,2024-11-22,2024-11-22,['Word'],26,2,o'clock.md,3.424778761061947,1,0
quantidade de palavras,2024-11-28,,[],592,0,quantidade de palavras.md,0.08027522935779817,0,0
Sem título 1,2025-08-06,,[],196,0,Sem título 1.md,0.34461009174311924,0,0
Sem título 2,2025-09-09,,[],22,0,Sem título 2.md,1.1553899082568808,0,0
Sem título 3,2025-09-18,,[],0,0,Sem título 3.md,1.3549311926605505,0,0
Sem título,2025-03-06,2025-03-06,[],245,2,Sem título.md,0.8336283185840708,0,0
Tripleten,2024-10-29,2024-10-29,['DataAnalyst'],97,0,Tripleten.md,0.5831422018348624,1,0
Ações,2024-07-17,,[],0,0,.trash\Ações.md,1.3549311926605505,0,1
Terrawwwwwww,2024-07-15,,[],0,0,.trash\Terrawwwwwww.md,1.3549311926605505,0,1
Terrawwwwwwwwwww,2024-07-15,,[],0,0,.trash\Terrawwwwwwwwwww.md,1.3549311926605505,0,1
Terrawwwwwwwwwwww2w22wwwwwww,2024-07-15,,[],0,0,.trash\Terrawwwwwwwwwwww2w22wwwwwww.md,1.3549311926605505,0,1
Terrawwwwwwwwwwwww,2024-07-15,,[],0,0,.trash\Terrawwwwwwwwwwwww.md,1.3549311926605505,0,1
Terrawwwwwwwwwwwwwww,2024-07-15,,[],0,0,.trash\Terrawwwwwwwwwwwwwww.md,1.3549311926605505,0,1
Cheklist,2025-06-22,,[],268,10,00 - cheklist\Cheklist.md,3.1954887218045114,0,1
O que eu faço com a IA,2025-07-04,,[],19,0,00 - cheklist\O que eu faço com a IA.md,1.1943807339449541,0,1
Organização da organização,2025-05-30,,[],310,3,00 - cheklist\Organização da organização.md,0.8496420047732697,0,1
