Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links
",pop",2024-11-13 19:18:02,2024-11-13,Python,108,0
Discretização,2024-10-23 22:38:25,2024-10-23,DataAnalyst,28,0
EDA,2024-12-03 20:17:55,2024-12-03,"DataAnalyst
data",158,8
Indução,2024-10-29 00:40:58,2024-10-29,DataAnalyst,132,6
o'clock,2024-11-22 19:12:45,2024-11-22,"Word
data",26,2
quantidade de palavras,2024-11-28 21:44:47,,,592,0
Sem título,2024-11-22 18:12:19,,,0,0
Tripleten,2024-10-29 22:06:49,2024-10-29,DataAnalyst,97,0
vxcvx.gif,2024-12-10 15:36:49,,,0,0
Ações,2024-07-17 01:04:31,,,0,0
Terrawwwwwww,2024-07-15 01:06:40,,,0,0
Terrawwwwwwwwwww,2024-07-15 01:07:32,,,0,0
Terrawwwwwwwwwwww2w22wwwwwww,2024-07-15 01:05:14,,,0,0
Terrawwwwwwwwwwwww,2024-07-15 01:08:00,,,0,0
Terrawwwwwwwwwwwwwww,2024-07-15 01:08:33,,,0,0
Cheklist,2024-12-03 23:22:41,,,298,14
Organização da organização,2024-10-18 17:26:56,,,17,3
O voto não é o que você pensa.,2024-09-19 18:52:16,,,2732,0
300 palavras basicas,2024-12-06 23:40:21,,,3738,0
Anki,2024-11-28 19:55:21,,,33,1
DA,2024-11-19 19:52:27,2024-11-19,"DataAnalyst
data",112,0
Eniglish,2024-11-26 17:51:32,,,206,1
Gráfico,2024-11-15 21:16:00,2024-11-15,,5,0
Python,2024-12-12 22:59:18,2024-11-15,,120,1
pythonloco,2024-11-19 21:32:56,,,4296,0
01,2024-12-08 23:57:27,2024-12-08,,179,13
Alfabeto,2024-11-15 18:20:42,2024-04-28,Inglês,290,0
Articles,2024-11-27 01:13:28,2024-11-27,"Inglês
data",7,1
Fonética das palavras com ch,2024-11-17 22:38:59,2024-04-28,"Inglês
data",62,0
"in, on e at(para lugar)",2024-11-22 18:08:06,2024-11-20,Conceito,75,0
"in, on e at(para tempo)",2024-11-22 19:21:47,2024-11-20,C,259,3
Noun,2024-11-27 01:12:12,,,1,1
Object of the sentence,2024-11-26 18:43:35,2024-11-26,Inglês,84,0
Phonetics,2024-11-27 01:13:29,,,0,0
Posições,2024-12-18 00:40:09,2024-11-21,Inglês,202,30
Pronome,2024-11-26 20:03:06,2024-11-26,"Conceito
data",170,2
Sem título,2024-11-26 18:29:06,,,0,0
Verbs,2024-11-18 17:57:17,2024-11-18,Regra,198,1
Color,2024-12-01 23:38:35,2024-12-01,"Word
data",438,0
Days of the week,2024-12-01 23:44:45,2024-12-01,"Word
data",48,0
evening,2024-11-22 19:04:14,2024-11-22,"Word
data",46,0
