Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota
",pop",2024-11-13 19:18:02,2024-11-13,Python,108,0,",pop.md"
Discretização,2024-10-23 22:38:25,2024-10-23,DataAnalyst,28,0,Discretização.md
EDA,2024-12-03 20:17:55,2024-12-03,DataAnalyst,158,8,EDA.md
Indução,2024-10-29 00:40:58,2024-10-29,DataAnalyst,132,6,Indução.md
O descobrimento de Portugal.,2024-12-31 23:41:03,2024-12-31,data: 2024-12-31,155,0,O descobrimento de Portugal..md
o'clock,2024-11-22 19:12:45,2024-11-22,Word,26,2,o'clock.md
quantidade de palavras,2024-11-28 21:44:47,,,592,0,quantidade de palavras.md
Sem título 1,2025-08-06 20:09:21,,,196,0,Sem título 1.md
Sem título 2,2025-09-09 16:38:49,,,22,0,Sem título 2.md
Sem título 3,2025-09-18 18:49:46,,,0,0,Sem título 3.md
Sem título,2025-03-06 20:44:21,2025-03-06,"data: 2025-03-06, #machinelearning #aprendizadosupervisionado #python #dados #modelopreditivo",245,2,Sem título.md
Tripleten,2024-10-29 22:06:49,2024-10-29,DataAnalyst,97,0,Tripleten.md
Ações,2024-07-17 01:04:31,,,0,0,.trash\Ações.md
Terrawwwwwww,2024-07-15 01:06:40,,,0,0,.trash\Terrawwwwwww.md
Terrawwwwwwwwwww,2024-07-15 01:07:32,,,0,0,.trash\Terrawwwwwwwwwww.md
Terrawwwwwwwwwwww2w22wwwwwww,2024-07-15 01:05:14,,,0,0,.trash\Terrawwwwwwwwwwww2w22wwwwwww.md
Terrawwwwwwwwwwwww,2024-07-15 01:08:00,,,0,0,.trash\Terrawwwwwwwwwwwww.md
Terrawwwwwwwwwwwwwww,2024-07-15 01:08:33,,,0,0,.trash\Terrawwwwwwwwwwwwwww.md
Cheklist,2025-06-22 20:12:42,,,268,10,00 - cheklist\Cheklist.md
O que eu faço com a IA,2025-07-04 17:16:28,,,19,0,00 - cheklist\O que eu faço com a IA.md
Organização da organização,2025-05-30 16:15:33,,,310,3,00 - cheklist\Organização da organização.md
O voto não é o que você pensa.,2024-09-19 18:52:16,,,2732,0,01 - Progetos\O voto não é o que você pensa..md
300 palavras basicas,2025-01-10 16:27:53,,,3738,0,01 - Progetos\Anki\300 palavras basicas.md
Anki,2024-11-28 19:55:21,,,33,1,01 - Progetos\Anki\Anki.md
DA,2025-09-21 20:21:22,2024-11-19,DataAnalyst,220,0,01 - Progetos\Anki\DA.md
Eniglish,2025-05-11 23:08:17,,,7921,1,01 - Progetos\Anki\Eniglish.md
Gráfico,2024-11-15 21:16:00,2024-11-15,data: 2024-11-15,5,0,01 - Progetos\Anki\Gráfico.md
intermediario,2025-03-04 19:35:55,,,1239,0,01 - Progetos\Anki\intermediario.md
Python,2025-03-11 21:08:02,2024-11-15,data: 2024-11-15,1437,13,01 - Progetos\Anki\Python.md
pythonloco,2024-11-19 21:32:56,,,4296,0,01 - Progetos\Anki\pythonloco.md
Esp-01,2025-07-04 00:04:23,,,142,2,01 - Progetos\Eletronica\Esp-01.md
Ideias projetos,2025-04-16 00:10:06,2025-04-16,data: 2025-04-16,34,0,01 - Progetos\Eletronica\Ideias projetos.md
MCP23017,2025-07-03 23:50:57,,,8,1,01 - Progetos\Eletronica\MCP23017.md
Mini avião,2025-05-08 17:38:53,,,17,0,01 - Progetos\Eletronica\Mini avião.md
primeiro kit,2025-03-31 09:28:09,,,471,0,01 - Progetos\Eletronica\primeiro kit.md
01,2025-08-09 01:45:14,2024-12-08,data: 2024-12-08,436,14,01 - Progetos\Inglês\01.md
Articles,2024-11-27 01:13:28,2024-11-27,Inglês,7,1,01 - Progetos\Inglês\Articles.md
Fonética das palavras com ch,2024-11-17 22:38:59,2024-04-28,Inglês,62,0,01 - Progetos\Inglês\Fonética das palavras com ch.md
Noun,2024-11-27 01:12:12,,,1,1,01 - Progetos\Inglês\Noun.md
Phonetics,2024-11-27 01:13:29,,,0,0,01 - Progetos\Inglês\Phonetics.md
Sem título,2024-11-26 18:29:06,,,0,0,01 - Progetos\Inglês\Sem título.md
Verbs,2024-11-18 17:57:17,2024-11-18,Regra,198,1,01 - Progetos\Inglês\Verbs.md
Adjetivos (comparative adjectivs),2025-05-08 21:17:20,2025-05-06,data: 2025-05-06,340,0,01 - Progetos\Inglês\Grammar\Adjetivos (comparative adjectivs).md
Alfabeto,2024-11-15 18:20:42,2024-04-28,Inglês,290,0,01 - Progetos\Inglês\Grammar\Alfabeto.md
"in, on e at(para lugar)",2024-11-22 18:08:06,2024-11-20,Conceito,75,0,"01 - Progetos\Inglês\Grammar\in, on e at(para lugar).md"
"in, on e at(para tempo)",2024-12-31 01:23:30,2024-11-20,Preposição,257,3,"01 - Progetos\Inglês\Grammar\in, on e at(para tempo).md"
Object of the sentence,2024-11-26 18:43:35,2024-11-26,Inglês,84,0,01 - Progetos\Inglês\Grammar\Object of the sentence.md
Pronome,2024-11-26 20:03:06,2024-11-26,Conceito,170,2,01 - Progetos\Inglês\Grammar\Pronome.md
Crush - Tessa Violet,2025-07-14 21:43:45,2025-06-28,Inglês,2339,0,01 - Progetos\Inglês\Transcrições\Músicas\Crush - Tessa Violet.md
Light Switch - Charlie Puth,2025-07-13 21:05:21,2025-06-28,Inglês,1653,0,01 - Progetos\Inglês\Transcrições\Músicas\Light Switch - Charlie Puth.md
Nobody Else - Em Beihold,2025-07-12 21:47:19,2025-06-28,Inglês,1631,0,01 - Progetos\Inglês\Transcrições\Músicas\Nobody Else - Em Beihold.md
Numb Little Bug - Em Beihold,2025-07-12 21:46:58,2025-07-12,Inglês,1658,0,01 - Progetos\Inglês\Transcrições\Músicas\Numb Little Bug - Em Beihold.md
001 Não sei,2025-08-27 21:51:04,2024-11-29,Inglês,215,0,01 - Progetos\Inglês\Words\001 Não sei.md
Adjectives,2025-05-07 21:07:13,2025-05-06,data: 2025-05-06,126,0,01 - Progetos\Inglês\Words\Adjectives.md
Body Part,2025-01-27 23:56:32,2025-01-26,[],167,0,01 - Progetos\Inglês\Words\Body Part.md
Color,2024-12-01 23:38:35,2024-12-01,Word,438,0,01 - Progetos\Inglês\Words\Color.md
Days of the week,2024-12-01 23:44:45,2024-12-01,Word,48,0,01 - Progetos\Inglês\Words\Days of the week.md
evening,2024-11-22 19:04:14,2024-11-22,Word,46,0,01 - Progetos\Inglês\Words\evening.md
Family Members,2025-01-26 00:18:36,2025-01-26,[],293,0,01 - Progetos\Inglês\Words\Family Members.md
Feelings,2025-02-28 23:18:46,2025-02-21,data: 2025-02-21,143,0,01 - Progetos\Inglês\Words\Feelings.md
Food and drinks,2025-02-21 21:18:16,2025-02-21,data: 2025-02-21,173,0,01 - Progetos\Inglês\Words\Food and drinks.md
Greetings,2025-04-30 21:18:18,2025-02-21,data: 2025-02-21,315,0,01 - Progetos\Inglês\Words\Greetings.md
Local,2025-05-06 20:37:17,2025-05-05,data: 2025-05-05,92,0,01 - Progetos\Inglês\Words\Local.md
Months and Seasons,2024-12-02 00:22:34,2024-12-01,Word,161,0,01 - Progetos\Inglês\Words\Months and Seasons.md
nacionalidades e países,2025-02-28 23:40:36,2025-02-21,[],455,0,01 - Progetos\Inglês\Words\nacionalidades e países.md
noon,2024-11-22 18:15:52,2024-11-22,Word,11,0,01 - Progetos\Inglês\Words\noon.md
Numbers,2024-12-08 23:47:27,2024-12-03,Word,268,0,01 - Progetos\Inglês\Words\Numbers.md
Posições,2024-12-18 00:40:09,2024-11-21,Inglês,202,30,01 - Progetos\Inglês\Words\Posições.md
Professions,2025-02-28 23:19:04,2025-02-21,data: 2025-02-21,246,0,01 - Progetos\Inglês\Words\Professions.md
Quantifiers,2025-01-29 23:16:43,2025-01-29,Conceito,27,0,01 - Progetos\Inglês\Words\Quantifiers.md
Weather,2025-05-03 22:14:22,2025-05-03,data: 2025-05-03,98,0,01 - Progetos\Inglês\Words\Weather.md
200 ideogramas importantes,2025-02-24 00:19:09,2025-02-24,data: 2025-02-24,129,0,01 - Progetos\Mandarim\200 ideogramas importantes.md
Acentuação,2025-02-01 19:05:54,2025-02-01,data: 2025-02-01,10,1,01 - Progetos\Mandarim\Acentuação.md
Mandarim ou Chines,2025-01-31 01:38:05,2025-01-31,data: 2025-01-31,40,0,01 - Progetos\Mandarim\Mandarim ou Chines.md
notas a fazer,2025-02-15 00:57:25,2025-02-11,[],60,0,01 - Progetos\Mandarim\notas a fazer.md
Pictogramas,2025-02-01 20:18:26,2025-02-01,data: 2025-02-01,31,1,01 - Progetos\Mandarim\Pictogramas.md
Tipos de ideogramas,2025-02-01 18:47:21,2025-01-31,data: 2025-01-31,420,0,01 - Progetos\Mandarim\Tipos de ideogramas.md
Tons,2025-02-01 19:04:12,2025-02-01,[],359,0,01 - Progetos\Mandarim\Tons.md
Conjunto dos inteiros,2023-09-29 23:31:25,,#Matemática #números,162,0,01 - Progetos\Matemática\Conjunto dos inteiros.md
Conjunto dos Irracionais,2023-10-03 10:31:33,,#Matemática #números,91,0,01 - Progetos\Matemática\Conjunto dos Irracionais.md
Conjunto dos Racionais,2023-09-29 23:45:07,,#Matemática #números,182,0,01 - Progetos\Matemática\Conjunto dos Racionais.md
Conjunto dos reais,2023-09-29 23:34:58,,#Matemática #números,162,0,01 - Progetos\Matemática\Conjunto dos reais.md
Conjuntos dos naturais,2023-09-29 23:31:16,,#Matemática #números,130,2,01 - Progetos\Matemática\Conjuntos dos naturais.md
Conjuntos numéricos,2024-04-21 22:40:53,,#Matemática #números,51,5,01 - Progetos\Matemática\Conjuntos numéricos.md
